,DROPDOWNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tab,Brief,Ad Types,,,,Call to Action List,,,,,,,,,,,,,,,,,,UTM,,,,,,,
,Stages,Platform,Ad Types,Specifications,Google,Facebook/Instagram,Facebook Lead Gen,Facebook App Install,Lead Gen Form Thank You,LinkedIn,Yahoo,Yahoo (Countdown),Twitter,TikTok,TikTok (Lead Gen Form),SnapChat,Hotstar,Spotify,WeChat,Wagawin,Grab,Programmatic,,PROGRAM,PROGRAM UTM,COUNTRIES,CHANNEL,UTM SOURCES,ADS PLATFORMS,STAGES IN THE FUNNEL,KEYWORDS TYPE
,,,SnapChat Collection Video Ads,https://forbusiness.snapchat.com/advertising/ad-formats/collection-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SnapChat Story Image Ads,https://forbusiness.snapchat.com/advertising/ad-formats/story-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SnapChat Story Video Ads,https://forbusiness.snapchat.com/advertising/ad-formats/story-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SnapChat Lens AR Image Experiences,https://forbusiness.snapchat.com/advertising/ad-formats/lenses,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SnapChat Lens AR Video Experiences,https://forbusiness.snapchat.com/advertising/ad-formats/lenses,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Line (Japan),Line Image Ads,https://sphereagency.com/articles/line-ads-platform/,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Line Video Ads,https://sphereagency.com/articles/line-ads-platform/,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Line Carousel Image Ads,https://sphereagency.com/articles/line-ads-platform/,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spotify,Spotify Ads,https://ads.spotify.com/en-IN/ad-experiences/audio-ads-specs/,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Telegram,Telegram Text Ads,https://promote.telegram.org/guidelines#1-ad-format,,,,,,,,,,,,,,,,,,,,,,,,,,,
